"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"1218","Clay Central-Everly","Instruction",8991,3281588,"300-599","2","Reading",14,21,"66.70","60.1 - 70%"
2017,"2763","Clayton Ridge","Instruction",10714,6294680,"300-599","2","Reading",54,67,"80.60","80.1 - 90%"
2017,"1221","Clear Creek Amana","Instruction",8001,15163348,"1,000-2,499","4","Reading",84,107,"78.50","70.1 - 80%"
2017,"1233","Clear Lake","Instruction",8324,10174025,"1,000-2,499","4","Reading",82,103,"79.60","70.1 - 80%"
2017,"1278","Clinton","Instruction",7776,29909106,"2,500-7,499","5","Reading",147,194,"75.80","70.1 - 80%"
2017,"1332","Colfax-Mingo","Instruction",7590,5559582,"600-999","3","Reading",38,43,"88.40","80.1 - 90%"
2017,"1337","College","Instruction",7872,38948060,"2,500-7,499","5","Reading",280,358,"78.20","70.1 - 80%"
2017,"1350","Collins-Maxwell","Instruction",8057,3898860,"300-599","2","Reading",26,33,"78.80","70.1 - 80%"
2017,"1359","Colo-NESCO","Instruction",8174,3985458,"300-599","2","Reading",25,32,"78.10","70.1 - 80%"
2017,"1368","Columbus","Instruction",7625,6236692,"600-999","3","Reading",27,47,"57.40","50.1 - 60%"
2017,"1413","Coon Rapids-Bayard","Instruction",8106,3247454,"300-599","2","Reading",29,30,"96.70","90.1 - 100%"
2017,"1431","Corning","Instruction",9746,4108039,"300-599","2","Reading",34,43,"79.10","70.1 - 80%"
2017,"1476","Council Bluffs","Instruction",8298,75724562,"7,500+","6","Reading",336,517,"65.00","60.1 - 70%"
2017,"1503","Creston","Instruction",7929,11650884,"1,000-2,499","4","Reading",105,121,"86.80","80.1 - 90%"
2017,"1576","Dallas Center-Grimes","Instruction",7420,18423833,"1,000-2,499","4","Reading",159,185,"85.90","80.1 - 90%"
2017,"1602","Danville","Instruction",8875,4539423,"300-599","2","Reading",36,39,"92.30","90.1 - 100%"
2017,"1611","Davenport","Instruction",7896,124761593,"7,500+","6","Reading",643,973,"66.10","60.1 - 70%"
2017,"1619","Davis County","Instruction",7412,8716002,"1,000-2,499","4","Reading",53,69,"76.80","70.1 - 80%"
2017,"1638","Decorah Community","Instruction",8600,11929449,"1,000-2,499","4","Reading",118,125,"94.40","90.1 - 100%"
2017,"1701","Denison","Instruction",7417,14866654,"1,000-2,499","4","Reading",120,153,"78.40","70.1 - 80%"
2017,"1719","Denver","Instruction",7038,5053569,"600-999","3","Reading",44,46,"95.70","90.1 - 100%"
2017,"1737","Des Moines Independent","Instruction",8230,268153634,"7,500+","6","Reading",1176,1841,"63.90","60.1 - 70%"
2017,"1791","Dike-New Hartford","Instruction",7382,6641867,"600-999","3","Reading",40,57,"70.20","70.1 - 80%"
2017,"1863","Dubuque","Instruction",8079,85535074,"7,500+","6","Reading",532,717,"74.20","70.1 - 80%"
2017,"1908","Dunkerton","Instruction",7428,3307165,"300-599","2","Reading",27,36,"75.00","70.1 - 80%"
2017,"1926","Durant","Instruction",8086,4621935,"300-599","2","Reading",37,50,"74.00","70.1 - 80%"
2017,"1944","Eagle Grove","Instruction",8426,7066208,"600-999","3","Reading",30,48,"62.50","60.1 - 70%"
2017,"1953","Earlham","Instruction",7608,4624619,"600-999","3","Reading",44,53,"83.00","80.1 - 90%"
2017,"1963","East Buchanan","Instruction",8125,4367969,"300-599","2","Reading",39,47,"83.00","80.1 - 90%"
2017,"3978","East Mills","Instruction",7091,3931038,"300-599","2","Reading",23,24,"95.80","90.1 - 100%"
2017,"6741","East Sac County","Instruction",7967,7167144,"600-999","3","Reading",46,66,"69.70","60.1 - 70%"
2017,"1970","East Union","Instruction",8159,4212363,"300-599","2","Reading",25,31,"80.60","80.1 - 90%"
2017,"1972","Eastern Allamakee","Instruction",7716,2672977,"300-599","2","Reading",24,24,"100.00","90.1 - 100%"
2017,"1965","Easton Valley","Instruction",8094,5026639,"600-999","3","Reading",27,36,"75.00","70.1 - 80%"
